Erasure code scheme,buffer size,number of cores,hardware type,encode runtime [usec],decode runtime [usec],encode bandwidth [MB/S],decode bandwidth [MB/S]
17-3 CACHED_TEST,6528,4,intel core i7-6700 CPU-3.40GHZ,2318138,7102377,11264.212916,3676.515623
17-3 CACHED_TEST,6528,4,intel core i7-6700 CPU-3.40GHZ,2322864,7050494,11241.295229,3703.570275
17-3 CACHED_TEST,13056,1,intel core i7-6700 CPU-3.40GHZ,4273751,8752401,12219.710507,5966.819847
17-3 CACHED_TEST,13056,2,intel core i7-6700 CPU-3.40GHZ,4397574,9009591,11875.638704,5796.489541
17-3 CACHED_TEST,13056,2,intel core i7-6700 CPU-3.40GHZ,4391967,8983433,11890.799726,5813.367785
17-3 CACHED_TEST,13056,3,intel core i7-6700 CPU-3.40GHZ,4512309,9242092,11573.675473,5650.668701
17-3 CACHED_TEST,13056,3,intel core i7-6700 CPU-3.40GHZ,4494968,9215152,11618.325203,5667.188127
17-3 CACHED_TEST,13056,3,intel core i7-6700 CPU-3.40GHZ,4494117,9177101,11620.525233,5690.68598
17-3 CACHED_TEST,13056,4,intel core i7-6700 CPU-3.40GHZ,4543315,9435966,11494.690551,5534.56848
17-3 CACHED_TEST,13056,4,intel core i7-6700 CPU-3.40GHZ,4560896,9369458,11450.381679,5573.854966
17-3 CACHED_TEST,13056,4,intel core i7-6700 CPU-3.40GHZ,4569333,9346543,11429.239235,5587.520434
17-3 CACHED_TEST,13056,4,intel core i7-6700 CPU-3.40GHZ,4582176,9290249,11397.205171,5621.377855
17-3 CACHED_TEST,26176,1,intel core i7-6700 CPU-3.40GHZ,8531360,13017402,12272.838094,8043.386845
17-3 CACHED_TEST,26176,2,intel core i7-6700 CPU-3.40GHZ,8801709,13382602,11895.871586,7823.889555
17-3 CACHED_TEST,26176,2,intel core i7-6700 CPU-3.40GHZ,8747912,13336376,11969.027581,7851.0084
17-3 CACHED_TEST,26176,3,intel core i7-6700 CPU-3.40GHZ,8965080,13731788,11679.092657,7624.93566
17-3 CACHED_TEST,26176,3,intel core i7-6700 CPU-3.40GHZ,8951314,13668733,11697.053639,7660.110121
17-3 CACHED_TEST,26176,3,intel core i7-6700 CPU-3.40GHZ,8948922,13596925,11700.1802,7700.56465
17-3 CACHED_TEST,26176,4,intel core i7-6700 CPU-3.40GHZ,9090683,13978213,11517.726446,7490.513988
17-3 CACHED_TEST,26176,4,intel core i7-6700 CPU-3.40GHZ,9099510,13941540,11506.55365,7510.217666
17-3 CACHED_TEST,26176,4,intel core i7-6700 CPU-3.40GHZ,9160801,13881179,11429.568222,7542.875141
17-3 CACHED_TEST,26176,4,intel core i7-6700 CPU-3.40GHZ,9184746,13905895,11399.770881,7529.468617
17-3 CACHED_TEST,52416,1,intel core i7-6700 CPU-3.40GHZ,17005228,21434624,12329.384822,9781.557167
17-3 CACHED_TEST,52416,2,intel core i7-6700 CPU-3.40GHZ,17429204,22076101,12029.465029,9497.329261
17-3 CACHED_TEST,52416,2,intel core i7-6700 CPU-3.40GHZ,17434498,22028184,12025.812272,9517.98841
17-3 CACHED_TEST,52416,3,intel core i7-6700 CPU-3.40GHZ,17863024,22667711,11737.318385,9249.456198
17-3 CACHED_TEST,52416,3,intel core i7-6700 CPU-3.40GHZ,17857923,22616875,11740.671074,9270.246221
17-3 CACHED_TEST,52416,3,intel core i7-6700 CPU-3.40GHZ,17847632,22559684,11747.440781,9293.7472
17-3 CACHED_TEST,52416,4,intel core i7-6700 CPU-3.40GHZ,18442672,23299598,11368.417765,8998.610191
17-3 CACHED_TEST,52416,4,intel core i7-6700 CPU-3.40GHZ,18415812,23338741,11384.998935,8983.518006
17-3 CACHED_TEST,52416,4,intel core i7-6700 CPU-3.40GHZ,18248671,23163243,11489.275027,9051.582285
17-3 CACHED_TEST,52416,4,intel core i7-6700 CPU-3.40GHZ,18292220,23252998,11461.922063,9016.643789
